NO,E KODU,ADI,SINIFI,FONKSİYONU,SAĞLIĞA ETKİSİ,DİKKAT
31,E160a,"Alfa-, Beta- ve Gama- Karoten",Renklendirici,Doğal turuncu-sarı renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
32,E160b,"Annatto Biksin, Annatto Norbiksin",Renklendirici,Doğal sarı renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
33,E160c,"Paprika ekstraktı, kapsantin, kapsorubin",Renklendirici,Doğal turuncu renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
34,E160d,Likopen,Renklendirici,Doğal kırmızı renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
35,E160e,Beta-apo-8’-karotenal (C 30),Renklendirici,Doğal turuncu-sarı renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
36,E160f,Etil esteri beta-apo–8'-karotenik asit,Renklendirici,Doğal turuncu-sarı renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
37,E161a,Flavoksantin,Renklendirici,Doğal sarı renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
38,E161b,Lutein,Renklendirici,Doğal sarı renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
39,E161c,Kriptoksantin,Renklendirici,"Doğal, sarı renklendirici","Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
40,E161d,Rubiksantin,Renklendirici,"Doğal, sarı renklendirici","Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
41,E161e,Violaksantin,Renklendirici,"Doğal, sarı renklendirici","Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
42,E161f,Rodoksantin,Renklendirici,"Doğal, sarı renklendirici","Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
43,E161g,Santhaksantin,Renklendirici,Doğal turuncu renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
44,E161h,Sitranaksantin,Renklendirici,"Doğal, sarı renklendirici","Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
45,E162,Pancar kökü kırmızısı,Renklendirici,Doğal kırmızı renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
46,E163,Antosiyaninler,Renklendirici,Doğal kırmızı-mor renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
47,E170,Kalsiyum karbonat,Renklendirici,Beyaz renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
48,E171,Titanyum dioksit(çıkarıldı),Renklendirici,Beyaz renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
